run_id,thread_count,io_threads,ssd_threads,query_id,thread_id,query_start_ns,query_end_ns,total_latency_ms,head_latency_ms,ex_latency_ms,io_issue_ms,io_wait_ms,batch_read_total_ms,posting_decode_ms,posting_parse_ms,distance_calc_ms,postings_touched,pages_read,requested_read_bytes,posting_elements_raw,metadata_read_bytes,code_logical_bytes,code_physical_bytes,payload_logical_bytes,payload_physical_bytes,distance_evaluated_count,duplicate_vector_count,coarse_candidate_count_before_dedupe,coarse_candidate_count_after_dedupe,rerank_candidate_count,final_result_count,coarse_candidate_hash,payload_page_hash,final_result_hash,recall,unique_payload_pages,payload_candidates,postings_with_payload,total_payload_page_spans,truth_count,coarse_recall,coarse_recall_after_dedupe,rerank_recall,final_recall,truth_recovered_by_head_result,truth_dropped_per_posting_topr,truth_dropped_global_topr,truth_dropped_rerank_topk,truth_missing_not_observed_in_scanned_posting,truth_missing_not_in_posting_reserved
run_1777697980835,1,4,1,29,0,133155734425086,133155737312511,2.887000,0.393000,2.494000,0.000000,0.000000,1.265566,0.000000,0.000000,0.000000,64,77,315392,2349,0,56376,0,32768,315392,256,0,2349,1600,256,10,5352099558926182283,81281457250123010,363186778356185629,0.900000,77,256,57,259,10,8,8,7,9,2,0,1,0,0,0
run_1777697980835,1,4,1,30,0,133155737312569,133155740961240,3.649000,0.437000,3.212000,0.000000,0.000000,1.531564,0.000000,0.000000,0.000000,64,89,364544,3173,0,76152,0,32768,364544,256,0,3173,2710,256,10,13717076505955758673,4499628526747004573,10129694150649186630,1.000000,89,256,60,259,10,9,9,9,10,1,0,0,0,0,0
run_1777697980835,1,4,1,31,0,133155740961301,133155744852836,3.891000,0.403000,3.488000,0.000000,0.000000,1.613203,0.000000,0.000000,0.000000,64,101,413696,3531,0,84744,0,32768,413696,256,0,3531,3104,256,10,2337973909059970213,3384062873630038881,15510063163255790306,1.000000,101,256,56,262,10,8,8,8,10,2,0,0,0,0,0
run_1777697980835,1,4,1,32,0,133155744852895,133155748635567,3.783000,0.420000,3.363000,0.000000,0.000000,1.598273,0.000000,0.000000,0.000000,64,97,397312,3285,0,78840,0,32768,397312,256,0,3285,2788,256,10,13397072462416508198,997152479804695607,6936331806726184251,1.000000,97,256,54,260,10,9,9,9,10,1,0,0,0,0,0
run_1777697980835,1,4,1,33,0,133155748635665,133155751945716,3.310000,0.432000,2.878000,0.000000,0.000000,1.463330,0.000000,0.000000,0.000000,64,89,364544,2690,0,64560,0,32768,364544,256,0,2690,2125,256,10,7093533315704313100,2482393122139886089,9064541521596016071,0.900000,89,256,60,263,10,9,9,8,9,1,0,1,0,0,0
run_1777697980835,1,4,1,34,0,133155751945784,133155756474271,4.529000,0.391000,4.138000,0.000000,0.000000,1.778742,0.000000,0.000000,0.000000,64,106,434176,4539,0,108936,0,32768,434176,256,0,4539,4005,256,10,5060977752138246245,4232135931716629506,5338251585269423540,1.000000,106,256,55,257,10,10,10,10,10,0,0,0,0,0,0
run_1777697980835,1,4,1,35,0,133155756474359,133155760632677,4.158000,0.384000,3.774000,0.000000,0.000000,1.613671,0.000000,0.000000,0.000000,64,104,425984,3954,0,94896,0,32768,425984,256,0,3954,3487,256,10,10401755958180119595,10048871298840157380,8267042158833273593,1.000000,104,256,55,256,10,9,9,9,10,1,0,0,0,0,0
run_1777697980835,1,4,1,36,0,133155760632762,133155765033269,4.401000,0.394000,4.007000,0.000000,0.000000,1.901755,0.000000,0.000000,0.000000,63,113,462848,3862,0,92688,0,32768,462848,256,0,3862,3464,256,10,16739321051935030061,9914172919245336340,14025587533798067367,1.000000,113,256,55,272,10,9,9,9,10,1,0,0,0,0,0
run_1777697980835,1,4,1,37,0,133155765033321,133155768791874,3.758000,0.478000,3.280000,0.000000,0.000000,1.480795,0.000000,0.000000,0.000000,64,92,376832,3548,0,85152,0,32768,376832,256,0,3548,2715,256,10,18430818091016070679,14223062286963731432,10521071486848831422,1.000000,92,256,53,261,10,7,7,7,10,3,0,0,0,0,0
run_1777697980835,1,4,1,38,0,133155768791930,133155773131689,4.339000,0.446000,3.893000,0.000000,0.000000,1.865457,0.000000,0.000000,0.000000,64,114,466944,4048,0,97152,0,32768,466944,256,0,4048,3228,256,10,12547184711306533969,11409624238147926113,14714181337179002169,1.000000,114,256,59,263,10,8,8,8,10,2,0,0,0,0,0
