sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
206748179136459,206748279936057,sda,16200,8294400,78.474085,0,9.335355,941
206748279936057,206748380814991,sda,14440,7393280,69.893495,0,8.624199,870
206748380814991,206748481566467,sda,12576,6438912,60.948239,0,7.831151,789
206748481566467,206748582491217,sda,14256,7299072,68.971560,0,7.867248,794
206748582491217,206748683165200,sda,14664,7507968,71.122211,0,8.413296,847
206748683165200,206748783849608,sda,16720,8560640,81.085668,0,10.130665,1020
206748783849608,206748884664011,sda,12432,6365184,60.212751,0,7.836182,790
206748884664011,206748985377089,sda,15416,7892992,74.740480,0,9.055428,912
206748985377089,206749086071006,sda,17832,9129984,86.470281,0,10.040328,1011
206749086071006,206749186727592,sda,14728,7540736,71.444965,0,9.308879,937
206749186727592,206749287716244,sda,13752,7041024,66.491072,0,7.941486,802
206749287716244,206749388416227,sda,15256,7811072,73.974379,0,8.450846,851
206749388416227,206749489111904,sda,16088,8237056,78.011976,0,9.354920,942
206749489111904,206749589848815,sda,14480,7413760,70.185917,0,8.547016,861
206749589848815,206749690608152,sda,14208,7274496,68.852180,0,9.458181,953
206749690608152,206749791329316,sda,16160,8273920,78.341281,0,9.193698,926
206749791329316,206749892084465,sda,13224,6770688,64.086365,0,7.364388,742
206749892084465,206749992767907,sda,14008,7172096,67.934147,0,8.948840,901
206749992767907,206750093514059,sda,17400,8908800,84.331695,0,10.590975,1067
206750093514059,206750194167725,sda,15184,7774208,73.659140,0,8.971357,903
206750194167725,206750294889030,sda,14872,7614464,72.097147,0,7.803711,786
206750294889030,206750395581194,sda,16976,8691712,82.320830,0,9.524078,959
206750395581194,206750496249349,sda,15704,8040448,76.170749,0,8.870730,893
206750496249349,206750596962255,sda,14664,7507968,71.094724,0,8.727779,879
206750596962255,206750697656293,sda,15688,8032256,76.073583,0,9.414659,948
206750697656293,206750798391376,sda,15712,8044544,76.158919,0,8.974033,904
206750798391376,206750899093189,sda,13936,7135232,67.572641,0,7.437801,749
206750899093189,206750999929538,sda,14904,7630848,72.169846,0,8.974938,905
206750999929538,206751100707657,sda,16296,8343552,78.955941,0,8.999970,907
206751100707657,206751201393893,sda,14000,7168000,67.893466,0,7.915680,797
206751201393893,206751302054570,sda,15464,7917568,75.012224,0,8.851520,891
206751302054570,206751402753465,sda,14704,7528448,71.298573,0,8.778646,884
206751402753465,206751503605853,sda,13760,7045120,66.619642,0,8.071202,814
206751503605853,206751604313467,sda,17872,9150464,86.652460,0,9.512687,958
206751604313467,206751705029682,sda,15208,7786496,73.729749,0,8.022541,808
206751705029682,206751805736089,sda,14344,7344128,69.547772,0,8.241779,830
206751805736089,206751906452401,sda,15328,7847936,74.311448,0,8.945919,901
206751906452401,206752007124696,sda,14784,7569408,71.705428,0,8.194906,825
206752007124696,206752107785625,sda,12560,6430720,60.925451,0,7.689180,774
206752107785625,206752208618878,sda,14168,7254016,68.608009,0,8.350420,842
206752208618878,206752309321969,sda,13136,6725632,63.692807,0,7.904425,796
206752309321969,206752410074010,sda,14640,7495680,70.950796,0,8.009763,807
206752410074010,206752510746557,sda,15224,7794688,73.839333,0,8.880276,894
206752510746557,206752611425780,sda,13208,6762496,64.057097,0,9.108135,917
206752611425780,206752712094045,sda,13432,6877184,65.150559,0,9.347534,941
206752712094045,206752812827143,sda,11992,6139904,58.128548,0,8.874938,894
206752812827143,206752913565747,sda,15960,8171520,77.358316,0,9.301300,937
206752913565747,206753014229768,sda,13448,6885376,65.230916,0,8.543271,860
206753014229768,206753114922974,sda,11200,5734400,54.311013,0,7.488092,754
206753114922974,206753215743457,sda,11728,6004736,56.799594,0,9.035862,911
206753215743457,206753316382378,sda,11912,6098944,57.794799,0,7.323210,737
206753316382378,206753417254004,sda,10400,5324800,50.342452,0,6.334784,639
206753417254004,206753517934774,sda,15592,7983104,75.618028,0,8.889483,895
206753517934774,206753618589191,sda,14984,7671808,72.688377,0,8.782526,884
206753618589191,206753719269676,sda,14744,7548928,71.505603,0,9.564912,963
206753719269676,206753819947815,sda,14808,7581696,71.817664,0,10.508736,1058
206753819947815,206753920634198,sda,15384,7876608,74.605111,0,10.766103,1084
206753920634198,206754021378144,sda,14280,7311360,69.211665,0,7.782105,784
206754021378144,206754121958379,sda,15872,8126464,77.052912,0,9.087272,914
206754121958379,206754222679718,sda,16104,8245248,78.069666,0,8.826332,889
206754222679718,206754323316877,sda,13456,6889472,65.287142,0,7.830110,788
206754323316877,206754424024244,sda,15288,7827456,74.124108,0,8.867276,893
