sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
214331179695485,214331282066639,sda,19472,9969664,92.875895,0,18.696673,1914
214331282066639,214331387940645,sda,8560,4382720,39.477939,0,4.949279,524
214331387940645,214331489748987,sda,16664,8531968,79.921926,0,17.022181,1733
214331489748987,214331597701135,sda,7392,3784704,33.434953,0,5.428331,586
214331597701135,214331705659459,sda,19008,9732096,85.970675,0,16.376690,1768
214331705659459,214331807058004,sda,7880,4034560,37.945872,0,5.414279,549
214331807058004,214331914075318,sda,10872,5566464,49.604999,0,8.783625,940
214331914075318,214332020025665,sda,13656,6991872,62.934846,0,11.656404,1235
214332020025665,214332123067816,sda,11144,5705728,52.807576,0,14.673607,1512
214332123067816,214332226404971,sda,14448,7397376,68.268645,0,12.415670,1283
214332226404971,214332329056063,sda,7280,3727360,34.628833,0,4.637067,476
214332329056063,214332432080941,sda,11584,5931008,54.901788,0,10.987637,1132
214332432080941,214332538955897,sda,14072,7204864,64.290962,0,10.254975,1096
214332538955897,214332646845146,sda,11832,6057984,53.548836,0,10.705423,1155
214332646845146,214332750054235,sda,14504,7426048,68.618290,0,12.963975,1338
214332750054235,214332853106175,sda,14416,7380992,68.305968,0,10.198741,1051
214332853106175,214332956065554,sda,16624,8511488,78.838738,0,12.130998,1249
214332956065554,214333058497707,sda,6824,3493888,32.529154,0,5.720860,586
214333058497707,214333160897152,sda,17792,9109504,84.839327,0,18.252052,1869
214333160897152,214333263231480,sda,12000,6144000,57.257180,0,10.905431,1116
214333263231480,214333365083884,sda,17168,8790016,82.303531,0,15.944641,1624
214333365083884,214333467392845,sda,9768,5001216,46.618900,0,9.637474,986
214333467392845,214333569078894,sda,17888,9158656,85.895510,0,17.003316,1729
214333569078894,214333671382189,sda,12248,6270976,58.458222,0,10.400447,1064
214333671382189,214333773079437,sda,13056,6684672,62.686062,0,12.438881,1265
214333773079437,214333875063816,sda,10704,5480448,51.248657,0,7.461927,761
214333875063816,214333976981704,sda,16224,8306688,77.728014,0,10.645825,1085
214333976981704,214334080073458,sda,14664,7507968,69.454209,0,12.096021,1247
214334080073458,214334181957242,sda,13392,6856704,64.181583,0,9.098602,927
214334181957242,214334285057585,sda,13000,6656000,61.567751,0,10.766211,1110
214334285057585,214334388072133,sda,10464,5357568,49.598577,0,9.367609,965
214334388072133,214334491057424,sda,11488,5881856,54.467730,0,11.700700,1205
214334491057424,214334594071950,sda,8904,4558848,42.204303,0,8.989024,926
214334594071950,214334697067195,sda,12176,6234112,57.724145,0,8.563502,882
214334697067195,214334806993081,sda,13896,7114752,61.724827,0,12.690368,1395
214334806993081,214334911492090,sda,9024,4620288,42.165472,0,6.162738,644
214334911492090,214335013142839,sda,7816,4001792,37.544300,0,5.076205,516
214335013142839,214335121095669,sda,9872,5054464,44.652025,0,6.197151,669
214335121095669,214335224970416,sda,13016,6664192,61.183964,0,17.559610,1824
214335224970416,214335329136471,sda,9496,4861952,44.512761,0,7.372843,768
214335329136471,214335432093592,sda,11088,5677056,52.585605,0,9.761345,1005
214335432093592,214335535061264,sda,14752,7553024,69.955209,0,16.510036,1700
214335535061264,214335638064553,sda,8584,4395008,40.691965,0,5.786223,596
214335638064553,214335741075809,sda,15768,8073216,74.741529,0,11.882197,1224
214335741075809,214335844071598,sda,14824,7589888,70.277448,0,12.068455,1243
214335844071598,214335947097051,sda,13184,6750208,62.484559,0,11.715551,1207
214335947097051,214336051091009,sda,15008,7684096,70.466834,0,9.163994,953
214336051091009,214336154078873,sda,9496,4861952,45.021992,0,7.758196,799
214336154078873,214336257074977,sda,15520,7946240,73.576812,0,13.476238,1388
214336257074977,214336360067233,sda,12112,6201344,57.422400,0,11.787294,1214
214336360067233,214336463093184,sda,11720,6000640,55.545775,0,8.182404,843
214336463093184,214336567847645,sda,9984,5111808,46.537398,0,7.837375,821
214336567847645,214336672087833,sda,5640,2887680,26.418853,0,3.693393,385
214336672087833,214336780061988,sda,14080,7208960,63.672645,0,12.678960,1369
214336780061988,214336888177594,sda,8368,4284416,37.792301,0,4.994654,540
214336888177594,214336992076724,sda,12296,6295552,57.785915,0,13.195491,1371
214336992076724,214337095073511,sda,13016,6664192,61.705505,0,11.272196,1161
214337095073511,214337203066423,sda,6592,3375104,29.805197,0,4.778091,516
214337203066423,214337309053293,sda,14016,7176192,64.571678,0,13.614894,1443
214337309053293,214337413079743,sda,6120,3133440,28.726168,0,4.316210,449
214337413079743,214337515593711,sda,12184,6238208,58.033250,0,8.642725,886
214337515593711,214337618044492,sda,10784,5521408,51.396631,0,9.507004,974
214337618044492,214337721076453,sda,11400,5836800,54.026015,0,9.103971,938
214337721076453,214337823464145,sda,9904,5070848,47.231629,0,8.292012,849
214337823464145,214337930074174,sda,11912,6098944,54.557778,0,8.198103,874
214337930074174,214338032792847,sda,12776,6541312,60.731716,0,10.699126,1099
214338032792847,214338135082627,sda,12192,6242304,58.198629,0,12.796977,1309
214338135082627,214338238081933,sda,9544,4886528,45.244540,0,6.747618,695
214338238081933,214338341073237,sda,15792,8085504,74.869792,0,19.419115,2000
