sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
266024872235362,266024972850408,83.544304,0.632911,158,132,1
266024972850408,266025073350806,82.278481,0.000000,158,130,0
266025073350806,266025173876600,82.278481,0.000000,158,130,0
266025173876600,266025274476164,83.544304,0.000000,158,132,0
266025274476164,266025375216557,83.850932,0.621118,161,135,1
266025375216557,266025475826548,81.761006,0.000000,159,130,0
266025475826548,266025576442825,77.215190,0.632911,158,122,1
266025576442825,266025677035382,79.113924,0.632911,158,125,1
266025677035382,266025777636124,78.616352,0.000000,159,125,0
266025777636124,266025878196046,78.125000,0.625000,160,125,1
266025878196046,266025979096443,82.608696,0.000000,161,133,0
266025979096443,266026079686513,82.389937,0.000000,159,131,0
266026079686513,266026180448690,81.528662,0.000000,157,128,0
266026180448690,266026280834200,81.366460,0.000000,161,131,0
266026280834200,266026381469857,88.050314,0.000000,159,140,0
266026381469857,266026482071551,81.875000,0.625000,160,131,1
266026482071551,266026582607869,84.276730,0.000000,159,134,0
266026582607869,266026683108507,81.761006,0.000000,159,130,0
266026683108507,266026783996842,79.245283,0.000000,159,126,0
266026783996842,266026884568324,81.012658,0.000000,158,128,0
266026884568324,266026985206206,81.761006,0.000000,159,130,0
266026985206206,266027085765341,83.750000,0.000000,160,134,0
266027085765341,266027186303547,81.875000,0.625000,160,131,1
266027186303547,266027286794745,78.980892,1.273885,157,124,2
266027286794745,266027387373078,72.500000,0.625000,160,116,1
266027387373078,266027487973134,79.113924,0.000000,158,125,0
266027487973134,266027588772660,80.503145,0.628931,159,128,1
266027588772660,266027689381311,82.389937,0.000000,159,131,0
266027689381311,266027789951795,83.647799,0.000000,159,133,0
266027789951795,266027890417880,78.481013,0.000000,158,124,0
266027890417880,266027990992694,80.000000,0.000000,160,128,0
266027990992694,266028091716835,80.625000,0.625000,160,129,1
266028091716835,266028192344826,85.534591,0.000000,159,136,0
266028192344826,266028292953210,73.885350,0.636943,157,116,1
266028292953210,266028393754325,83.125000,0.000000,160,133,0
266028393754325,266028494361753,81.366460,0.621118,161,131,1
266028494361753,266028594927800,80.625000,0.000000,160,129,0
266028594927800,266028695531566,78.260870,0.000000,161,126,0
266028695531566,266028797101108,72.151899,0.632911,158,114,1
266028797101108,266028898296916,70.625000,0.625000,160,113,1
266028898296916,266028998851146,71.250000,0.625000,160,114,1
266028998851146,266029099591006,82.389937,0.000000,159,131,0
266029099591006,266029200153671,82.389937,0.628931,159,131,1
266029200153671,266029300790004,79.113924,0.000000,158,125,0
266029300790004,266029401451572,78.616352,0.628931,159,125,1
266029401451572,266029502361750,82.500000,0.000000,160,132,0
266029502361750,266029602920183,84.276730,0.628931,159,134,1
266029602920183,266029703514464,73.584906,0.628931,159,117,1
266029703514464,266029804455062,80.000000,0.000000,160,128,0
266029804455062,266029905059535,81.645570,0.000000,158,129,0
266029905059535,266030005653637,80.625000,0.625000,160,129,1
266030005653637,266030106450044,77.987421,0.628931,159,124,1
266030106450044,266030207017004,82.278481,0.000000,158,130,0
266030207017004,266030307538839,83.125000,0.000000,160,133,0
266030307538839,266030408322773,81.250000,0.625000,160,130,1
266030408322773,266030509307259,83.125000,0.000000,160,133,0
266030509307259,266030609800205,81.761006,0.628931,159,130,1
266030609800205,266030710474379,79.113924,0.000000,158,125,0
266030710474379,266030811141512,71.069182,0.628931,159,113,1
266030811141512,266030911865956,67.080745,0.621118,161,108,1
266030911865956,266031013470169,70.440252,0.000000,159,112,0
266031013470169,266031114893350,72.222222,0.617284,162,117,1
266031114893350,266031216100675,72.151899,0.632911,158,114,1
266031216100675,266031316939576,77.358491,0.000000,159,123,0
266031316939576,266031417513101,86.792453,0.000000,159,138,0
266031417513101,266031518165108,80.000000,0.625000,160,128,1
266031518165108,266031618945398,74.522293,0.000000,157,117,0
266031618945398,266031719613666,70.625000,0.625000,160,113,1
266031719613666,266031820490264,65.605096,0.636943,157,103,1
266031820490264,266031921851308,70.625000,0.625000,160,113,1
266031921851308,266032023050579,78.980892,0.000000,157,124,0
266032023050579,266032123680319,77.358491,0.628931,159,123,1
266032123680319,266032224300272,73.584906,0.628931,159,117,1
266032224300272,266032325338250,73.584906,1.257862,159,117,2
266032325338250,266032426060834,73.417722,0.000000,158,116,0
266032426060834,266032526716909,58.282209,0.613497,163,95,1
266032526716909,266032627857263,43.396226,0.628931,159,69,1
266032627857263,266032728577347,70.700637,0.000000,157,111,0
266032728577347,266032830357888,65.432099,0.617284,162,106,1
266032830357888,266032931685725,70.700637,0.636943,157,111,1
266032931685725,266033032271667,72.955975,0.000000,159,116,0
266033032271667,266033133086897,72.151899,0.632911,158,114,1
266033133086897,266033233754714,73.750000,0.625000,160,118,1
266033233754714,266033334427333,76.433121,0.000000,157,120,0
266033334427333,266033435028841,78.616352,0.000000,159,125,0
266033435028841,266033535789981,77.639752,0.621118,161,125,1
266033535789981,266033637179959,77.500000,0.625000,160,124,1
266033637179959,266033737915872,76.729560,0.000000,159,122,0
266033737915872,266033838614616,78.616352,0.628931,159,125,1
266033838614616,266033939170734,81.645570,0.000000,158,129,0
266033939170734,266034039743630,80.254777,0.636943,157,126,1
266034039743630,266034140512542,82.500000,0.000000,160,132,0
266034140512542,266034241095217,81.645570,0.000000,158,129,0
266034241095217,266034341657967,81.761006,0.628931,159,130,1
266034341657967,266034442297813,81.012658,0.000000,158,128,0
266034442297813,266034542901028,81.250000,0.625000,160,130,1
266034542901028,266034643455576,82.608696,0.000000,161,133,0
266034643455576,266034744361022,66.666667,0.628931,159,106,1
266034744361022,266034844974994,76.875000,0.000000,160,123,0
266034844974994,266034945515206,82.692308,0.000000,156,129,0
266034945515206,266035046132970,72.670807,0.621118,161,117,1
266035046132970,266035146848667,77.848101,1.265823,158,123,2
