sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
266061340533912,266061441134607,sda,5040,2580480,24.462430,0,1.172954,118
266061441134607,266061541798478,sda,4848,2482176,23.515761,0,1.221888,123
266061541798478,266061642860979,sda,2328,1191936,11.247681,0,0.653061,66
266061642860979,266061743791516,sda,3816,1953792,18.461026,0,1.198844,121
266061743791516,266061844754559,sda,3648,1867776,17.642594,0,1.178649,119
266061844754559,266061945360693,sda,3696,1892352,17.938146,0,0.964156,97
266061945360693,266062046077309,sda,3384,1732608,16.405870,0,0.764521,77
266062046077309,266062146891749,sda,3104,1589248,15.033809,0,0.743941,75
266062146891749,266062247557777,sda,4496,2301952,21.807878,0,1.082788,109
266062247557777,266062348163268,sda,4648,2379776,22.558721,0,1.312056,132
266062348163268,266062448744430,sda,4496,2301952,21.826279,0,1.133413,114
266062448744430,266062549879719,sda,3536,1810432,17.071811,0,0.860234,87
266062549879719,266062650507528,sda,3760,1925120,18.244832,0,1.103075,111
266062650507528,266062751035523,sda,4248,2174976,20.633245,0,1.163855,117
266062751035523,266062851590591,sda,3864,1978368,18.763040,0,1.083983,109
266062851590591,266062952221947,sda,3888,1990656,18.865268,0,1.103036,111
266062952221947,266063053068114,sda,2272,1163264,11.000666,0,0.664378,67
266063053068114,266063153650226,sda,4408,2256896,21.398872,0,1.212939,122
266063153650226,266063254312798,sda,4480,2293760,21.731016,0,1.162299,117
266063254312798,266063355343925,sda,2592,1327104,12.527080,0,0.722550,73
266063355343925,266063455905972,sda,3232,1654784,15.693048,0,0.875082,88
266063455905972,266063556570361,sda,3576,1830912,17.345695,0,0.913928,92
266063556570361,266063657864495,sda,3272,1675264,15.772446,0,0.918118,93
266063657864495,266063758526033,sda,3240,1658880,15.716343,0,1.003362,101
266063758526033,266063859520572,sda,3240,1658880,15.664523,0,0.851531,86
266063859520572,266063960076105,sda,3120,1597440,15.150211,0,0.885083,89
266063960076105,266064060693360,sda,2856,1462272,13.859762,0,0.785154,79
266064060693360,266064161381739,sda,4032,2064384,19.552902,0,1.072616,108
266064161381739,266064261981880,sda,4024,2060288,19.531223,0,1.033796,104
266064261981880,266064362554751,sda,5416,2772992,26.294678,0,1.242880,125
266064362554751,266064463211603,sda,4104,2101248,19.908294,0,1.072952,108
266064463211603,266064563792825,sda,4584,2347008,22.253470,0,1.123470,113
266064563792825,266064664428481,sda,3752,1921024,18.204594,0,0.894315,90
266064664428481,266064764994735,sda,5128,2625536,24.898076,0,1.233018,124
266064764994735,266064865943573,sda,2280,1167360,11.028173,0,0.614172,62
266064865943573,266064966799166,sda,4880,2498560,23.625983,0,1.140244,115
266064966799166,266065067771112,sda,2304,1179648,11.141709,0,0.623936,63
266065067771112,266065168516166,sda,4552,2330624,22.062187,0,1.151421,116
266065168516166,266065269213856,sda,3008,1540096,14.585737,0,0.794457,80
266065269213856,266065369806236,sda,4376,2240512,21.241358,0,1.043817,105
266065369806236,266065470688166,sda,3464,1773568,16.766196,0,0.931782,94
266065470688166,266065571405824,sda,2760,1413120,13.380536,0,1.022661,103
266065571405824,266065672132191,sda,2144,1097728,10.393257,0,0.555962,56
266065672132191,266065772738066,sda,2888,1478656,14.016639,0,0.844881,85
266065772738066,266065873667722,sda,2720,1392640,13.158917,0,0.743092,75
266065873667722,266065974254028,sda,4176,2138112,20.271770,0,1.153238,116
266065974254028,266066075027796,sda,4280,2191360,20.737974,0,1.151093,116
266066075027796,266066175614385,sda,3416,1748992,16.582417,0,0.894751,90
266066175614385,266066276334859,sda,4304,2203648,20.865296,0,1.509127,152
266066276334859,266066376928594,sda,4632,2371584,22.483694,0,1.222740,123
266066376928594,266066477602769,sda,2176,1114112,10.553849,0,0.695312,70
