sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
214155581265797,214155683693566,42.944785,1.226994,163,70,2
214155683693566,214155786034236,43.478261,0.000000,161,70,0
214155786034236,214155888762854,37.037037,0.000000,162,60,0
214155888762854,214155991984819,41.975309,0.000000,162,68,0
214155991984819,214156094473755,47.204969,0.000000,161,76,0
214156094473755,214156197039878,47.530864,0.000000,162,77,0
214156197039878,214156299081616,45.283019,0.000000,159,72,0
214156299081616,214156401055086,42.331288,0.000000,163,69,0
214156401055086,214156503319476,37.974684,0.000000,158,60,0
214156503319476,214156605699521,36.645963,0.000000,161,59,0
214156605699521,214156707863907,35.403727,0.000000,161,57,0
214156707863907,214156810418321,34.161491,0.000000,161,55,0
214156810418321,214156913384227,28.571429,0.000000,161,46,0
214156913384227,214157015799930,35.625000,0.000000,160,57,0
214157015799930,214157118609980,39.751553,0.000000,161,64,0
214157118609980,214157220666434,39.622642,0.000000,159,63,0
214157220666434,214157323313109,37.423313,0.000000,163,61,0
214157323313109,214157426542553,37.888199,0.000000,161,61,0
214157426542553,214157529090890,46.913580,0.617284,162,76,1
214157529090890,214157631404094,46.296296,0.617284,162,75,1
214157631404094,214157733757120,43.478261,0.000000,161,70,0
214157733757120,214157835917195,41.717791,0.000000,163,68,0
214157835917195,214157938099552,37.267081,0.000000,161,60,0
214157938099552,214158040609636,41.975309,0.000000,162,68,0
214158040609636,214158143060371,46.296296,0.000000,162,75,0
214158143060371,214158245316584,39.130435,0.000000,161,63,0
214158245316584,214158347427782,35.403727,0.000000,161,57,0
214158347427782,214158449813904,36.419753,0.000000,162,59,0
214158449813904,214158552133998,41.614907,0.000000,161,67,0
214158552133998,214158654566769,40.372671,0.000000,161,65,0
214158654566769,214158756931297,40.490798,0.000000,163,66,0
214158756931297,214158859356403,39.130435,0.000000,161,63,0
214158859356403,214158961926122,34.782609,0.000000,161,56,0
214158961926122,214159064343588,36.024845,0.000000,161,58,0
214159064343588,214159166707381,44.720497,0.000000,161,72,0
214159166707381,214159268790655,45.341615,0.000000,161,73,0
214159268790655,214159370670099,42.236025,0.000000,161,68,0
214159370670099,214159473134826,36.809816,0.613497,163,60,1
214159473134826,214159575558749,36.024845,0.000000,161,58,0
214159575558749,214159678209066,36.024845,0.000000,161,58,0
214159678209066,214159780660247,35.000000,0.000000,160,56,0
214159780660247,214159883193440,30.000000,0.000000,160,48,0
214159883193440,214159985781531,30.246914,0.000000,162,49,0
214159985781531,214160088305309,38.364780,0.000000,159,61,0
214160088305309,214160190891764,41.104294,0.000000,163,67,0
214160190891764,214160293166222,40.000000,0.000000,160,64,0
214160293166222,214160394862012,38.125000,0.000000,160,61,0
214160394862012,214160497035966,44.375000,0.625000,160,71,1
214160497035966,214160598027321,46.875000,0.000000,160,75,0
214160598027321,214160700081128,43.750000,0.625000,160,70,1
214160700081128,214160802422122,42.857143,0.000000,161,69,0
214160802422122,214160904794347,36.196319,0.000000,163,59,0
214160904794347,214161007154756,36.875000,0.625000,160,59,1
214161007154756,214161108847980,48.125000,0.000000,160,77,0
214161108847980,214161210973463,47.826087,0.000000,161,77,0
214161210973463,214161313219364,45.341615,0.000000,161,73,0
214161313219364,214161415562435,43.478261,0.000000,161,70,0
214161415562435,214161517658747,36.024845,0.000000,161,58,0
214161517658747,214161620049484,39.130435,0.621118,161,63,1
214161620049484,214161722453983,36.875000,0.000000,160,59,0
214161722453983,214161825363710,35.365854,0.609756,164,58,1
214161825363710,214161927848293,29.192547,0.000000,161,47,0
214161927848293,214162030242853,36.250000,0.000000,160,58,0
214162030242853,214162132604010,38.650307,0.000000,163,63,0
214162132604010,214162235041717,38.509317,0.000000,161,62,0
214162235041717,214162337272604,38.125000,0.000000,160,61,0
214162337272604,214162439744354,38.414634,0.000000,164,63,0
214162439744354,214162542290907,44.936709,0.000000,158,71,0
214162542290907,214162643467201,45.000000,0.000000,160,72,0
214162643467201,214162745952758,43.827160,0.000000,162,71,0
214162745952758,214162848322759,40.372671,0.000000,161,65,0
214162848322759,214162950596922,38.036810,0.000000,163,62,0
214162950596922,214163052712358,46.250000,0.000000,160,74,0
214163052712358,214163154904619,48.148148,0.000000,162,78,0
214163154904619,214163257135035,46.202532,0.000000,158,73,0
214163257135035,214163358082697,44.099379,0.000000,161,71,0
214163358082697,214163461033489,39.024390,0.609756,164,64,1
214163461033489,214163563355841,38.271605,0.000000,162,62,0
214163563355841,214163665447223,42.500000,0.000000,160,68,0
214163665447223,214163767842266,35.802469,0.000000,162,58,0
214163767842266,214163869994663,30.434783,0.000000,161,49,0
214163869994663,214163972516816,31.055901,0.000000,161,50,0
214163972516816,214164074814089,39.130435,0.000000,161,63,0
214164074814089,214164177073531,42.236025,0.000000,161,68,0
214164177073531,214164279472174,41.875000,0.000000,160,67,0
214164279472174,214164381565465,36.809816,0.000000,163,60,0
214164381565465,214164484210063,32.500000,0.000000,160,52,0
214164484210063,214164586806658,30.246914,0.000000,162,49,0
214164586806658,214164689240630,32.500000,0.000000,160,52,0
214164689240630,214164791520946,30.000000,0.000000,160,48,0
214164791520946,214164893461827,27.329193,0.000000,161,44,0
214164893461827,214164995986878,31.677019,0.000000,161,51,0
214164995986878,214165098546176,40.000000,0.000000,160,64,0
214165098546176,214165200937469,40.993789,0.000000,161,66,0
214165200937469,214165303189167,38.888889,0.000000,162,63,0
214165303189167,214165405698891,38.888889,0.617284,162,63,1
214165405698891,214165509328406,45.398773,0.000000,163,74,0
214165509328406,214165611384246,45.000000,0.000000,160,72,0
214165611384246,214165713699386,44.654088,0.628931,159,71,1
214165713699386,214165815493563,42.857143,0.000000,161,69,0
214165815493563,214165917444599,36.809816,0.613497,163,60,1
214165917444599,214166018590228,45.911950,0.000000,159,73,0
214166018590228,214166120841004,46.913580,0.000000,162,76,0
214166120841004,214166223132723,47.530864,0.000000,162,77,0
214166223132723,214166325495611,44.099379,0.000000,161,71,0
214166325495611,214166427297054,41.614907,0.000000,161,67,0
214166427297054,214166529727473,37.500000,0.000000,160,60,0
214166529727473,214166632768619,35.582822,0.000000,163,58,0
214166632768619,214166734863079,35.000000,0.000000,160,56,0
214166734863079,214166837555626,32.500000,0.000000,160,52,0
214166837555626,214166939952941,29.012346,0.000000,162,47,0
214166939952941,214167042824266,38.888889,0.000000,162,63,0
214167042824266,214167145243107,40.000000,0.000000,160,64,0
214167145243107,214167247754871,39.024390,0.000000,164,64,0
214167247754871,214167351184319,41.250000,0.625000,160,66,1
214167351184319,214167454858788,41.975309,0.000000,162,68,0
214167454858788,214167557251966,45.398773,0.613497,163,74,1
214167557251966,214167659569743,45.000000,0.000000,160,72,0
214167659569743,214167761991328,43.209877,0.000000,162,70,0
214167761991328,214167864332843,33.950617,4.320988,162,55,7
214167864332843,214167965506716,34.591195,6.289308,159,55,10
214167965506716,214168068119498,44.444444,0.617284,162,72,1
214168068119498,214168170134550,48.125000,0.625000,160,77,1
214168170134550,214168272463692,45.679012,0.000000,162,74,0
214168272463692,214168373780295,43.125000,0.000000,160,69,0
214168373780295,214168476254767,45.000000,0.000000,160,72,0
214168476254767,214168578688461,44.099379,0.000000,161,71,0
214168578688461,214168680985598,43.827160,0.000000,162,71,0
214168680985598,214168783319661,42.592593,0.000000,162,69,0
214168783319661,214168885605888,37.267081,0.000000,161,60,0
214168885605888,214168987756830,36.645963,0.000000,161,59,0
214168987756830,214169089815189,39.751553,0.000000,161,64,0
214169089815189,214169190779498,38.993711,0.000000,159,62,0
214169190779498,214169292859219,36.585366,0.000000,164,60,0
214169292859219,214169395254120,33.540373,0.000000,161,54,0
214169395254120,214169498497532,30.061350,0.613497,163,49,1
214169498497532,214169600928802,33.950617,0.000000,162,55,0
214169600928802,214169703166731,33.750000,0.000000,160,54,0
214169703166731,214169804257380,29.192547,0.000000,161,47,0
214169804257380,214169906657144,22.981366,0.000000,161,37,0
214169906657144,214170009157825,29.629630,0.000000,162,48,0
214170009157825,214170111406370,39.751553,0.000000,161,64,0
214170111406370,214170213781758,40.123457,0.000000,162,65,0
214170213781758,214170317191327,38.509317,0.000000,161,62,0
214170317191327,214170419675360,37.654321,0.000000,162,61,0
214170419675360,214170521236756,45.341615,0.000000,161,73,0
214170521236756,214170623636350,45.341615,0.000000,161,73,0
214170623636350,214170726355781,42.073171,1.219512,164,69,2
214170726355781,214170828965602,40.993789,0.000000,161,66,0
214170828965602,214170931410248,38.888889,0.617284,162,63,1
214170931410248,214171033764012,47.169811,0.000000,159,75,0
214171033764012,214171136139816,47.239264,0.000000,163,77,0
214171136139816,214171238624808,46.296296,0.000000,162,75,0
214171238624808,214171340893201,44.375000,0.000000,160,71,0
214171340893201,214171442754379,35.625000,0.000000,160,57,0
214171442754379,214171545085986,35.403727,0.000000,161,57,0
214171545085986,214171647553471,36.645963,0.000000,161,59,0
214171647553471,214171750209548,35.185185,0.000000,162,57,0
214171750209548,214171852432470,32.704403,0.000000,159,52,0
214171852432470,214171954948078,29.375000,0.000000,160,47,0
214171954948078,214172057486970,34.161491,0.000000,161,55,0
214172057486970,214172160167136,39.506173,0.000000,162,64,0
214172160167136,214172262100155,39.130435,0.000000,161,63,0
214172262100155,214172364734556,37.267081,0.000000,161,60,0
214172364734556,214172467326409,41.975309,0.000000,162,68,0
214172467326409,214172569795660,44.720497,0.000000,161,72,0
214172569795660,214172672312718,45.000000,0.000000,160,72,0
214172672312718,214172774640761,42.857143,0.000000,161,69,0
214172774640761,214172876753139,38.509317,0.000000,161,62,0
214172876753139,214172978458108,39.506173,0.617284,162,64,1
214172978458108,214173080574639,45.341615,0.000000,161,73,0
214173080574639,214173182606183,48.734177,0.000000,158,77,0
214173182606183,214173283678790,45.000000,0.000000,160,72,0
214173283678790,214173386024026,40.740741,0.000000,162,66,0
214173386024026,214173488351055,45.625000,0.000000,160,73,0
214173488351055,214173590800586,46.296296,0.617284,162,75,1
214173590800586,214173692682504,40.372671,0.000000,161,65,0
214173692682504,214173794806723,43.478261,0.000000,161,70,0
214173794806723,214173897080792,35.802469,0.000000,162,58,0
214173897080792,214173999483162,41.250000,0.000000,160,66,0
214173999483162,214174101837524,46.875000,0.000000,160,75,0
214174101837524,214174203899856,47.530864,0.000000,162,77,0
214174203899856,214174305937495,38.993711,0.000000,159,62,0
214174305937495,214174408064666,30.864198,0.000000,162,50,0
214174408064666,214174510855914,25.308642,0.000000,162,41,0
214174510855914,214174613056925,31.875000,0.000000,160,51,0
214174613056925,214174715348710,28.125000,0.000000,160,45,0
214174715348710,214174817900004,30.246914,0.000000,162,49,0
214174817900004,214174920432150,30.246914,0.000000,162,49,0
214174920432150,214175023118313,30.864198,0.000000,162,50,0
214175023118313,214175125452582,33.750000,0.000000,160,54,0
214175125452582,214175228101956,34.161491,0.000000,161,55,0
214175228101956,214175330643300,37.500000,0.000000,160,60,0
214175330643300,214175433079786,37.500000,0.000000,160,60,0
214175433079786,214175535167153,45.341615,0.000000,161,73,0
214175535167153,214175637471343,44.099379,0.000000,161,71,0
214175637471343,214175739822731,42.592593,0.000000,162,69,0
